"","OTUID","mean_abundance","sd_abundance"
"149","g__Yarrowia",0.205750717835691,0.390992875805292
"52","g__Fusarium",0.0942321644362087,0.225922861189307
"19","g__Chordomyces",0.057480227088711,0.200601308330962
"97","g__Penicillium",0.0540523655643669,0.15418955503904
"82","g__Naganishia",0.0358666482024638,0.0719548411444741
"119","g__Sarocladium",0.0327328053789935,0.166153971894458
"7","g__Aureobasidium",0.032725214167315,0.0720791656824137
"48","g__Exophiala",0.0315866646828702,0.104389917180163
"4","g__Alternaria",0.0309532962755356,0.121628083361113
"21","g__Cladosporium",0.0300646945607868,0.0569590902300525
