"","Raw-FloorA","Raw-FloorA.1","Raw-FloorB","Raw-FloorB.1","Raw-WallA","Raw-WallA.1","Raw-WallB","Raw-WallB.1","Ware-DoorA","Ware-DoorA.1","Ware-FanA","Ware-FanA.1","Ware-FloorA","Ware-FloorA.1","Ware-FloorB","Ware-FloorB.1"
"Aspergillus",0,0,0.000640820249919897,0.000452391541044948,0.00899332276583687,0.00187074203645737,0.000508927801259381,0.00286342338173194,0.0916811385488585,0.0989610003468838,0.0644968437340648,0.0448912518124698,0.161738847281016,0.505893574981263,0.0259978203528501,0.0305753537857659
"Candida",0.0388580559803433,0.0821558977615495,0.00337273815747314,0.00171755432532319,0.00353162446512315,0.000589210090222795,0.000465798326576382,0.0793515358361775,0.00254140370197806,0.00655775615718793,0.0312637372298711,0.015621072982117,0.237023770758711,0.0346801117394563,0.0313679655047147,0.0670385290775746
"Cladosporium",0,0,0.000860048230155652,0.000889447775613796,0.00298134809497606,0.00179709077517953,0.000163892003795394,0.0145629663909296,0.103350417213774,0.109103222715935,0.0730952506549911,0.0411793136781054,0.139238033213937,0,0.04766793549508,0.0387356678029129
"Cosmospora",0.00218216807848932,0.00605034308796811,0,0,0.0483175505309756,0.0283483704658442,0.28719054601915,0.0280268409787702,0,0.000512066601694775,0.000263754813525347,0,0,0,0.00410658158671995,0
"Cutaneotrichosporon",0.00064434096805787,0.00113774673228555,0,0,0.051652061072464,0.147744430123366,0.400060381264556,0.0199282697981142,0,0.0010571697583376,0.256176258550052,0.00943450942484292,0,0,0.00481733609211378,0.0105361016423923
"Didymella",0.464088730046908,0.168651108641583,0.457402317071114,0.120918891564048,0.624013403746807,0.760022095378383,0.253635814715777,0.76061491294036,0.0244610106315388,0.0173276730702522,0.366636774454467,0.0709908168197197,0.0407684793226962,0,0.218596496770016,0.0805701890300589
"Exophiala",0.000274918813038025,9.70171632181475e-05,0,0,0.0633310610478248,0.0310292763763579,0.000629690330371776,0.0348383178110719,0,0,0.000738513477870971,0,0,0,0.00135833083253044,0
"Filobasidium",0.00361690063403151,0.547362015134677,0.100381119411794,0.0568326458004263,0.00902617508644267,0.00164242312649604,0,0,0.00152484222118684,0.00109020631328565,0.000861599057516133,0,0.018235102572452,0,0.0277983984331812,0.00991633095754571
"Fusarium",0.0333424972937679,0.0505283025524334,0.406777517327442,0.788917174009723,0.031521801621262,0.00129626219849015,0.0422582592944018,0.0272892925319604,0,0.00213085779414923,0.0025847971725484,0.00193330111164814,0.0018235102572452,0,0.187844518503309,0.157525049065179
"Fusicolla",0.00405505249231086,0.00748796105201884,0.000396296733503095,0.000161020717999049,0,0.0112612778493832,0.010816872250496,0,0.00173662586301834,0,0,0.0038472692121798,0.0681536958645392,0,0.00203749624879567,0
"Geotrichum",0.0215897180363924,0.0082376391314318,0.000269819052597852,6.13412259043997e-05,0.0731128395082008,0,0,0,0.0169003346181541,0.0061447992203373,0.0244764466951522,0.710236829386177,0.0316509280364702,0.00183961299993187,0.0177372735457173,0.0100196260716868
"Naganishia",0.00969947937249781,0.000555643752976663,0.0186259464746454,0.0123602570197365,0,0,0,0,0,0.00274203406068815,0.000826431749046087,0,0.0126668837512211,0,0.0065389414496233,0.249251110422477
"Papiliotrema",0.000970807058540525,0.00200208145913813,0.00169480092413026,0.00422487693416553,0,0,0,0.00389020651356511,0,0,0.000211003850820277,0.000985983566940551,0.00433083686095734,0,0.0760665266217049,0.0177667596322694
"Penicillium",0.00279214419491744,0,0.00382805780873202,0.00453158306368753,0.00555204218237966,0.00428650340637083,0.00100922970758216,0.00968936194828484,0.671947138802999,0.649713407885826,0.0739568497125073,0.0610343160947318,0.162911103874959,0.437487224909723,0.146146920853537,0.11816961057742
"Rhodotorula",0.00225948899465627,0.000238133036989998,0,0.000107347145332699,0,0,0,0.00229941574593625,0,0,0,0.000386660222329628,0.00113969391077825,0,0.0106455230363432,0.0656956925937403
"Yarrowia",0.406055086857163,0.112866239791149,0.000615524713738849,0.00120382155837384,0.00272674261028113,0.00355735591972013,0.000146640213922194,0.000564007635795685,0,0.0266439815656023,0.035729985405567,0.00889318511358144,0.003158580267014,0.0200994753696259,0.0857643769841897,0.0337775023241401
