sample-id,File_name,Year,Facility,Season,site_name,Room,Side,Swab_Site,Combined,Room_Site,Qubit,Nanodrop,YM_raw,YM_log,YM_cat,Order_no
sample-1,A1_ITS_2.fastq.gz,2024,Facility1,Spring,A1,Warehouse,Side1,Door,Ware-Door-Side1-A,Ware-Door,0.09,2.3,200,2.3,Low,1
sample-9,B1_ITS_2.fastq.gz,2024,Facility1,Spring,B1,Warehouse,Side2,Door,Ware-Door-Side2-A,Ware-Door,0.187,2.2,820,2.91,Low,2
sample-3,A2_ITS_2.fastq.gz,2024,Facility1,Spring,A2,Warehouse,Side1,Fan,Ware-Fan-Side1-A,Ware-Fan,<0.05,1.5,0,0,Low,3
sample-11,B2_ITS_2.fastq.gz,2024,Facility1,Spring,B2,Warehouse,Side2,Fan,Ware-Fan-Side2-A,Ware-Fan,<0.05,7,0,0,Low,4
sample-4,A3_ITS_2.fastq.gz,2024,Facility1,Spring,A3,Warehouse,Side1,Floor,Ware-Floor-Side1-A,Ware-Floor,0.138,1.5,640,2.81,Low,5
sample-12,B3_ITS_2.fastq.gz,2024,Facility1,Spring,B3,Warehouse,Side2,Floor,Ware-Floor-Side2-A,Ware-Floor,0.135,1.3,600,2.78,Low,6
sample-5,A4_ITS_2.fastq.gz,2024,Facility1,Spring,A4,Warehouse,Side1,Floor,Ware-Floor-Side1-B,Ware-Floor,<0.05,2.1,280,2.45,Low,7
sample-13,B4_ITS_2.fastq.gz,2024,Facility1,Spring,B4,Warehouse,Side2,Floor,Ware-Floor-Side2-B,Ware-Floor,0.088,1.6,120,2.08,Low,8
sample-6,A7_ITS_2.fastq.gz,2024,Facility1,Spring,A7,Raw ,Side1,Floor,Raw-Floor-Side1-A,Raw-Floor,2.7,9.7,7280000,6.86,High,9
sample-14,B7_ITS_2.fastq.gz,2024,Facility1,Spring,B7,Raw ,Side2,Floor,Raw-Floor-Side2-A,Raw-Floor,1.02,3.4,8640000,6.94,High,10
sample-2,A10_ITS_2.fastq.gz,2024,Facility1,Spring,A10,Raw ,Side1,Wall,Raw-Wall-Side1-A,Raw-Wall,<0.05,2.3,620,2.79,Low,11
sample-10,B10_ITS_2.fastq.gz,2024,Facility1,Spring,B10,Raw ,Side2,Wall,Raw-Wall-Side2-A,Raw-Wall,<0.05,1.6,20,1.3,Low,12
sample-7,A8_ITS_2.fastq.gz,2024,Facility1,Spring,A8,Raw ,Side1,Floor,Raw-Floor-Side1-B,Raw-Floor,0.555,8,7720000,6.89,High,13
sample-15,B8_ITS_2.fastq.gz,2024,Facility1,Spring,B8,Raw ,Side2,Floor,Raw-Floor-Side2-B,Raw-Floor,0.701,4.5,200000,5.3,Medium,14
sample-8,A9_ITS_2.fastq.gz,2024,Facility1,Spring,A9,Raw ,Side1,Wall,Raw-Wall-Side1-B,Raw-Wall,<0.05,2.8,60,1.78,Low,15
sample-16,B9_ITS_2.fastq.gz,2024,Facility1,Spring,B9,Raw ,Side2,Wall,Raw-Wall-Side2-B,Raw-Wall,<0.05,1,100,2,Low,16
